排名,球员名,出手数
735,约翰-蒙格尔特,2418
736,艾德-康林,1862
737,迪昂-维特斯,2075
738,扎克-拉文,2250
739,迪克-伽马克,2022
740,托德-达耶,2036
741,达雷尔-伊姆霍夫,2299
742,汤姆-麦克米伦,2420
743,博扬-博格达诺维奇,2305
744,马库斯-索顿,2124
745,Barry Clemens,2262
746,德安德鲁-乔丹,3337
747,安德雷-布拉奇,2327
748,厄尔-博伊金斯,2076
749,肯尼-托马斯,2309
750,史蒂夫-约翰逊,2841
751,特里-罗林斯,2592
752,迈尔-哈特金斯,1931
753,K.C.-琼斯,1919
754,厄尔-洛依德,1766
755,M·L·凯尔,2330
756,菲尔-乔丹,1965
757,麦考伊-麦克莱默,1947
758,纳兹尔-穆罕穆德,2402
759,阿尔顿-李斯特,2514
760,比尔-沃顿,2552
761,莱恩-查普尔,2212
762,布莱文-奈特,2019
763,乔-艾利斯,1946
764,帕特里克-米尔斯,2100
765,吉姆·克莱蒙斯,2242
766,约翰尼·伊根,2089
767,韦恩-艾灵顿,1986
768,凯文-兰西,2207
769,德安吉洛-拉塞尔,2040
770,布兰登-罗伊,2224
771,史蒂夫-霍伊斯,2337
772,鲍伯-考夫曼,2306
773,卢克-杰克逊,2004
774,约纳斯-瓦兰丘纳斯,2706
775,约翰-帕克森,2403
776,吉姆-普莱斯,2129
777,杰克-麦克马洪,1615
778,里夫-拉弗伦茨,2227
779,布莱恩特-斯蒂奇,2021
780,布莱尔-拉斯姆森,2248
781,布鲁斯-鲍文,1945
782,格雷格-安东尼,1914
783,马利斯-斯贝茨,2181
784,拉里-史密斯,2519
785,埃迪-库里,2578
786,杰-克劳德,1979
787,特拉维斯-奥特洛,1994
788,埃里克-皮亚考斯基,2044
789,罗恩-布恩,2134
790,萨姆-鲍威,2127
791,威尔-巴顿,2035
792,乔治-林奇,2086
793,比利-鲍尔兹,2285
794,乔-布莱恩特,2093
795,特拉维斯-贝斯特,2002
796,马里奥-钱莫斯,1936
797,尼科拉-约季奇,2433
798,鲍勃-苏拉,1918
799,霍华德-埃斯利,1881
800,沃尔特-韦斯利,2002
801,钱德勒-帕森斯,2129
802,朱利叶斯-兰德尔,2274
803,休伯特-戴维斯,2108
804,J.R.-瑞德,2168
805,托尼-德尔克,1874
806,伊斯梅尔-史密斯,1974
807,菲尔-杰克逊,2076
808,乔金-诺阿,2244
809,菲尔-福特,2128
810,达内尔-瓦伦丁,1993
811,艾尔-法鲁克-阿米奴,1910
812,路易斯-奥尔,2125
813,埃里克-曼尼,2239
814,比尔-罗宾,2185
815,斯温-纳特,2432
816,马克-伊顿,2072
817,克里夫-莱温斯顿,2333
818,特里斯坦-汤普森,2344
819,Slick Leonard,1574
820,Charles Johnson,1935
821,奥利-约翰逊,2235
822,迈克-桑德斯,2167
823,弗莱德-罗伯茨,2257
824,布奇-贝尔德,2187
825,马里奥-埃利,2123
826,埃里克-威廉姆斯,1865
827,阿米尔-约翰逊,2558
828,克里斯-亨弗里斯,2078
829,西伊-格林,1732
830,贾马尔-廷斯利,1759
831,罗德-索恩,1939
832,安德烈斯-诺西奥尼,1932
833,西奥-拉特里夫,2207
834,克里福德-雷,2333
835,温斯顿-加兰,1912
836,T.R.-邓恩,2030
837,里奇-凯雷,2166
838,弗兰克-约翰逊,1947
839,约翰-巴特尔,2054
840,肖恩-利文斯顿,2149
841,奥斯汀-里弗斯,1844
842,鲍比-菲尔斯,1957
843,托尼-巴蒂,2143
844,西德尼-格林,1993
845,安东尼-莫罗,1956
846,马里克-希利,1865
847,山顿-安德森,1996
848,罗纳德-穆雷,1806
849,肯杨-杜林,1810
850,马克-韦斯特,2528
851,林书豪,1885
852,约翰-摩尔,1998
853,凯尔-迈西,2175
854,汤姆-欧文斯,2201
855,厄尔尼-格伦菲尔德,2065
856,埃里克-默多克,1889
857,德雷蒙德-格林 ,1875
858,达夫-斯托沃茨,1883
859,阿兰·布里斯托,1977
860,阿隆-戈登,1919
861,迈克-麦基,2087
862,特洛伊-哈德森,1714
863,萨波-索夫洛萨,1916
864,斯蒂夫-科尔,2042
865,约翰-特雷斯万特,1920
866,杰森-汤普森,2112
867,艾尔-伍德,1980
868,凯文-库内特,2022
869,莱恩-戈麦斯,1891
870,弗莱德-黑特泽尔,1789
871,乔-梅里维尔瑟,2170
872,比尔-汉兹里克,1836
873,詹姆斯-贝莉,2045
874,T.J. Ford,1829
875,杰里米-兰姆,1874
876,阿兰-亨德森,1976
877,阿隆-威廉姆斯,1858
878,布莱恩特-李维斯,1999
879,乔-克莱恩,1902
880,弗里曼-威廉姆斯,1959
881,德马雷-卡罗尔,1802
882,吉姆-克莱布斯,1696
