用户,转发数,评论数,点赞数,评论
ccccc_啰嗦,0,0,0,只有老玩家才懂吧，当时喜欢edg的多 
好喜欢嘻嘻嘻呀,0,0,0,就rng和edg两个不见了的队上全二队，乐了 
_鸽子饲养员_,0,0,30,EDG尖锐的嘴角说的是这种嘛 
小悠珊珊,1,20,70,#wrl2# 下班打卡～是两场bo5拉满，也是相当精彩的一天！恭喜edg、fpx获胜🎉再一次祝@FPX_Xiaoma  生日快乐🎂今天终于把倔强的蝴蝶结从颅顶挪走了～迈出了人生的一大步#英雄联盟手游官方解说主持# 
月亮跌入人间,0,1,15,EDG小电驴总行程卡了个7777公里 
_鸽子饲养员_,0,0,30,EDG尖锐的嘴角说的是这种嘛 
小悠珊珊,1,20,70,#wrl2# 下班打卡～是两场bo5拉满，也是相当精彩的一天！恭喜edg、fpx获胜🎉再一次祝@FPX_Xiaoma  生日快乐🎂今天终于把倔强的蝴蝶结从颅顶挪走了～迈出了人生的一大步#英雄联盟手游官方解说主持# 
月亮跌入人间,0,1,15,EDG小电驴总行程卡了个7777公里 
JutMMhoi,2,24,131,EDG 虽然国内已经很亲切地Fisher选手为小鱼儿~但是他解释为啥取这名字是因为他觉得自己长得很像动物Fisher(渔貂)哈哈哈哈，太可爱了！！！不过小鱼儿好好听昂~~~~ 
exhaustedknackered,0,2,1,EDG二队的两个新中单真好看 
RNG电子竞技俱乐部,30,227,1360,#NEST2022# NEST2022英雄联盟线上预选赛抽签结果和赛程新鲜出炉啦！RNG战队分至C组，同组对手EDG战队、LGD战队。坚持热爱，迎接挑战，RNG加油！#RNG# #永不言弃，九九归R# 
